sample.id	sex	population	family	father	mother
NA07034	M	CEU	C1341	0	0
NA07048	M	CEU	C1341	NA07034	NA07055
NA07055	F	CEU	C1341	0	0
NA10846	M	CEU	NA10846	NA	NA
NA10847	F	CEU	C1334	NA12146	NA12239
NA12146	M	CEU	C1334	0	0
NA12239	F	CEU	C1334	0	0
NA12877	M	CEU	NA12877	NA	NA
NA12878	F	CEU	C1463	NA12891	NA12892
NA12891	M	CEU	C1463	0	0
NA12892	F	CEU	C1463	0	0
NA18503	M	YRI	Y005	NA18504	NA18505
NA18504	M	YRI	Y005	0	0
NA18505	F	YRI	Y005	0	0
NA18506	M	YRI	NA18506	NA	NA
NA18524	M	CHB	NA18524	NA	NA
NA18532	F	CHB	NA18532	NA	NA
NA18912	F	YRI	Y028	0	0
NA18913	M	YRI	Y028	0	0
NA18914	M	YRI	Y028	NA18913	NA18912
NA18940	M	JPT	NA18940	NA	NA
NA18947	F	JPT	NA18947	NA	NA
